node, chunk
1,0
3055,0
3088,0
3144,0
3750,0
3752,0
3986,0
4460,0
5791,0
5802,0
6239,0
6253,0
6289,0
6339,0
6454,0
6455,0
6549,0
6579,0
6596,0
6613,0
6645,0
6850,0
6973,11
6978,11
6997,11
7004,11
7029,11
7038,11
7044,11
7048,11
7054,11
7061,11
7064,11
7067,11
7070,11
7084,11
7091,10
7092,10
7102,9
7107,9
7108,9
7109,9
7111,9
7113,9
7116,10
7130,10
7137,10
7141,10
7153,1
7159,1
7160,1
7165,1
7167,1
7168,1
7173,1
7176,1
7200,1
7213,1
7215,1
7217,1
7218,1
7220,1
7222,1
7224,1
7225,1
7226,1
7227,1
7229,1
7230,1
7232,1
7233,1
7234,1
7237,1
7238,1
7240,1
7241,1
7244,1
7245,1
7248,1
7249,1
7251,1
7252,1
7257,1
7260,1
7263,1
7266,1
7274,1
7282,1
7291,1
7368,1
7370,1
7373,1
7375,1
7380,1
7385,1
7386,1
7394,1
7395,1
7398,1
7416,4
7421,4
7425,4
7426,4
7427,4
7445,4
7446,4
7454,4
7460,4
7462,4
7463,4
7493,4
7515,11
7536,11
7539,11
7604,8
7609,8
7611,8
7742,0
7753,8
7757,8
7764,8
7830,8
7868,8
7906,7
7913,7
7918,7
7932,7
7936,7
7938,7
7950,5
7953,5
7954,5
7955,5
7957,5
7962,5
7965,5
7994,5
7998,5
8005,5
8010,7
8017,7
8018,7
8019,7
8022,7
8023,7
8030,7
8032,7
8033,7
8040,7
8049,7
8056,7
8074,6
8078,7
8081,7
8083,7
8084,7
8090,7
8103,6
8128,7
8150,7
8153,7
8154,7
8161,7
8167,6
8168,6
8175,6
8177,6
8187,7
8208,6
8218,6
8236,7
8238,7
8255,7
8267,7
8284,5
8296,8
8355,8
8364,8
8384,8
8386,8
8407,8
8457,0
8459,2
8467,2
8469,2
8475,2
8477,2
8478,2
8486,2
8496,2
8502,2
8508,8
8519,8
8524,8
8616,8
8628,8
8630,8
8663,8
8673,8
8724,8
8729,8
8742,8
8773,8
8787,2
8790,2
8795,2
8797,2
8805,2
8823,2
8824,2
8839,2
8840,2
8845,2
8846,2
8851,2
8853,2
8868,2
8869,2
8884,2
8897,2
8905,2
8932,2
8947,2
8954,2
8957,2
8969,2
8996,2
9002,2
9009,2
9014,2
9031,2
9049,2
9050,2
9054,2
9065,2
9089,2
9103,2
9117,2
9121,2
9132,2
9135,2
9157,2
9160,2
9163,2
9172,2
9176,2
9191,2
9209,2
9218,2
9226,2
9228,2
9233,2
9234,2
9238,2
9240,2
9244,2
9252,2
9255,3
9258,3
9263,3
9305,3
9315,3
9337,3
9347,3
9348,3
9355,3
9358,3
9361,3
9365,3
9371,3
9392,3
9397,3
9402,3
9407,3
9413,3
9417,3
9423,3
9430,3
9433,3
9438,3
9443,3
9447,3
9460,3
9470,3
9479,3
9483,3
9491,3
9509,3
9514,3
9515,3
9516,3
9526,3
9531,3
9538,3
9541,3
9543,3
9544,3
9545,3
9555,3
9561,3
9565,3
9568,3
9589,3
9590,3
9593,3
9595,3
9597,3
9598,3
9600,3
9601,3
9604,3
9605,3
9606,3
9612,3
9615,3
9622,3
9624,3
9627,3
9643,3
9644,3
9646,3
9649,3
9657,3
9664,3
9668,3
9669,3
9672,3
9678,3
9680,3
9685,3
9689,3
9690,3
9691,3
9694,3
9696,3
9704,3
9707,3
9711,3
9713,3
9715,3
9716,3
9720,3
9725,3
9731,3
9733,3
9739,3
9742,3
9749,3
9755,3
9760,3
9764,3
9767,3
9770,3
9771,3
9778,3
9783,3
9785,3
9787,3
9793,3
9796,3
9798,3
9801,3
9802,3
9805,3
9807,3
9813,3
9818,3
9823,3
9833,3
9837,3
9838,3
9840,3
9843,3
9844,3
9849,3
9852,3
9860,3
9870,3
9874,3
9877,3
9883,3
9886,3
9888,3
9891,3
9897,3
9899,3
9901,3
9904,3
9913,3
9915,3
9923,3
9925,3
9927,3
9938,3
9940,3
9970,3
9974,3
9978,3
9986,3
9989,3
9993,3
9994,3
9995,3
9999,3
10020,3
10023,3
10029,3
10036,3
10041,3
10042,3
10047,3
10060,3
10066,3
10068,3
10085,3
10088,3
10089,3
10090,3
10093,3
10096,3
10103,3
10105,3
10112,3
10116,3
10117,3
10137,3
10141,3
10149,3
10157,3
10160,3
10166,3
10169,3
10181,3
10183,3
10224,8
12930,2
12957,4
13037,10
13114,2
13146,2
13164,11
13180,2
13233,11
13245,2
13249,11
13262,11
13397,8
13489,6
13515,3
13616,3
13632,1
13686,4
13735,2
13746,2
27454,1
27457,1
27615,3
27622,3
27642,3
27675,3
27679,3
27687,7
27704,5
27706,6
27794,2
27835,0
27923,0
28377,8
28584,1
28588,1
28610,1
28612,1
28689,2
28697,2
28711,2
28713,2
28716,2
28724,2
28737,3
28743,7
28829,7
29029,1
29030,1
29031,1
29053,4
29057,10
29058,9
29064,3
29073,3
29078,3
29088,3
29091,3
29092,3
29137,3
29139,3
29144,5
29158,0
29159,0
29656,0
30018,1
30019,1
30023,1
30025,1
30033,1
30065,1
30066,1
30068,1
30069,1
30076,11
30191,4
30194,4
30195,4
30201,4
30207,4
30212,4
30213,4
30317,8
30331,8
30357,8
30388,2
30410,2
30419,2
30423,2
30455,2
30456,2
30457,2
30461,2
30464,2
30521,3
30522,3
30527,3
30538,3
30551,3
30586,3
30589,3
30602,3
30608,3
30611,3
30640,3
30732,7
31033,6
31142,8
31869,3
32389,4
32443,0
32473,7
32523,0
32524,0
32525,3
32536,3
33208,0
33317,0
33412,10
33416,10
33418,10
33423,10
33425,10
33427,10
33428,10
33429,10
33440,10
33441,10
33442,10
33444,10
33455,10
33457,10
33528,7
33548,3
33553,3
33554,3
33556,3
33562,3
33584,2
33598,2
33601,2
33616,2
34620,0
34682,1
34690,1
34691,1
34720,4
34729,4
34739,10
34773,5
34785,7
34787,6
34816,6
34827,3
34839,3
34842,3
34844,3
34846,3
34873,3
34875,3
34880,3
34882,3
34884,3
34886,3
34903,2
34926,2
34956,2
34996,8
35005,8
35523,11
35570,1
35657,5
35658,3
35670,8
36166,1
36176,8
36185,7
36190,6
36200,6
36212,7
36226,3
36227,3
36239,3
36248,2
36249,2
36263,2
36268,2
36275,2
36300,2
36667,11
36722,3
36723,3
36987,11
37001,1
37003,7
37032,3
37040,2
37042,2
37046,2
37079,2
37080,2
37081,2
37083,2
37174,3
37176,3
37181,3
37190,3
37273,7
37293,3
37344,4
37546,1
37548,3
37610,2
37627,4
37653,0
38123,11
38162,11
38358,1
38397,2
38527,5
38618,3
38626,3
38654,2
38669,3
38674,3
38772,2
38775,3
38881,0
38941,6
38942,0
39082,3
39086,3
39099,8
39107,3
39432,3
39466,9
39617,2
39621,2
39638,2
39758,1
39961,2
39963,2
40077,10
40085,10
40151,3
40217,2
40233,3
40366,1
40370,1
40674,3
40690,6
40692,6
40817,2
40818,2
40830,5
41101,11
41112,11
41139,11
41261,3
41426,3
41427,1
41447,7
41882,0
42026,1
42062,1
42100,3
42192,0
42254,3
42275,10
42410,3
42415,3
42514,5
42526,5
42563,5
