node, weight
1,823840817949
2769,600947789
3055,146094927
3088,1843810
3144,667988
3197,160857281
3483,676639214
3494,684639128
3625,466603525
3654,419464726
3656,685840732
3659,180120875
3702,171041560
3707,719565416
3708,763266065
3711,698005252
3712,762478545
3750,2674290503
3752,1007730273
3755,423301926
3760,459977208
3847,645369117
3871,653102684
3880,612283137
3983,506968093
3986,1224827593
4039,830875221
4072,807514092
4146,816332881
4232,944908566
4236,618260196
4265,523907541
4460,850019039
4513,731041302
4522,835406937
4528,286035912
4529,390574531
4530,650160759
4533,186439656
4536,306187568
4537,580494127
4538,416953291
4615,308953430
4641,338159772
4686,783969450
5791,2238345
5802,206153046
6239,28382096
6253,923626
6289,696994
6339,661388505
6454,1016753227
6455,683930759
6549,1064424132
6550,161050961
6565,34460253
6573,31558729
6579,831377642
6596,57761311
6613,639508
6645,717958
6850,631324
6973,513351614
6978,765225247
6997,243029139
7004,826570617
7029,591363511
7038,481945910
7044,1434592191
7048,1865891348
7054,908939774
7061,1386549651
7064,661918589
7067,411410204
7070,226723567
7084,1033909680
7091,477678979
7092,226813588
7102,282777593
7107,834314906
7108,345191501
7109,49523
7111,272553724
7113,569129549
7116,378933181
7130,311162660
7137,287756441
7141,47031
7153,34982837
7159,919122824
7160,878025638
7165,1090961086
7167,129077444
7168,55003211
7173,86238896
7176,555818265
7200,77859727
7213,303250648
7215,22978294911
7217,789924286
7218,574014109
7220,344076990
7222,175901596
7224,203420561
7225,713513340
7226,513437873
7227,428265794
7229,1171318177
7230,240271104
7232,22303067
7233,734125501
7234,777438289
7237,844752545
7238,552467852
7240,418783125
7241,153718374
7244,435252789
7245,361091944
7248,566580769
7249,776625094
7251,528565134
7252,60875776
7257,72833310
7260,469284596
7263,31931417
7266,121487471
7274,423093100
7282,281797176
7291,299594768
7368,218650341
7370,388384540
7373,257396666
7375,304889761
7380,285022502
7385,240683356
7386,378219850
7394,417946530
7395,241974176
7398,240028482
7416,496390354
7421,64960805
7425,727254058
7426,172231343
7427,180798925
7445,118771796
7446,85767630
7454,175905119
7460,438366804
7462,28937304
7463,34679597
7493,150230705
7515,693168299
7536,229789978
7539,732764360
7604,663271892
7609,882333766
7611,950373711
7742,327966515211
7753,620053816
7757,329225596
7764,570198
7830,575442480
7868,147065105
7906,752504078
7913,592776674
7918,189429010
7932,357098999
7936,1130634046
7938,458389915
7950,474717420
7954,3873206283
7955,745704138
7957,963142723
7962,542880023
7965,690046109
7994,474406495
7998,1123302320
8005,226194295
8010,397181218
8017,1235620495
8018,557684254
8019,486069877
8022,682128076
8023,632865881
8030,584054867
8032,1519163833
8040,931128368
8049,777518183
8056,310853204
8074,266843470
8078,439227917
8081,188892024
8083,276841997
8084,494537732
8090,402906173
8103,447323348
8128,1108619885
8150,547431197
8153,207292737
8154,743208069
8161,182789451
8167,687507723
8168,611605857
8175,309299716
8177,912353399
8187,159216710
8208,351533007
8218,2117025515
8236,317702648
8238,585231810
8255,88856910
8267,407982643
8284,1260421681
8296,2154592048
8355,392286432
8364,383012950
8384,1078750651
8386,669495151
8407,982590835
8457,77812911717
8459,12563466389
8467,539913296
8469,337060227
8475,847867796
8477,389054826
8478,388670789
8486,7768667384
8496,386799907
8502,257049569
8508,583899074
8519,795543774
8524,293354316
8616,502053573
8628,432603066
8630,359782691
8663,544738656
8673,525425002
8724,514983881
8729,488774610
8742,428969118
8773,756372660
8787,46553977
8790,47650285
8795,18182300
8797,23291710
8805,33068060
8823,38098801
8824,77277196
8839,614158407
8840,43082577
8845,69670969
8846,69727168
8851,37808267
8853,102304072
8868,129567409
8869,114051973
8884,124947755
8897,46130971
8905,43740879
8932,33706636
8947,43231719
8954,31683714
8957,507890578
8969,57190920
8996,49982975
9002,70013457
9009,85247927
9014,66738316
9031,61167973
9049,45621426
9050,104642368
9054,89581839
9065,109218401
9089,59064147
9103,155092734
9117,43245601
9121,136192458
9132,58461259
9135,268598155
9157,44663996
9160,74414698
9163,106444369
9172,36830991
9176,51697801
9191,607136786
9209,63590172
9218,26985018
9226,53957686
9228,65162561
9233,35711969
9234,123258005
9238,46652684
9240,37800062
9244,174623726
9252,60037533
9255,162106002
9258,160166143
9263,2165398159
9305,191234612
9315,533944
9337,281992306
9347,50088486598
9348,128457357
9355,4120878
9358,35026422
9361,28635617
9365,21288106
9371,18118622
9392,12900595
9397,3748135312
9402,6273788
9407,323896798
9413,13518566
9417,14123999
9423,200204600
9430,11047036
9433,15991520
9438,15965532
9443,8845463953
9447,6194934
9460,9299432
9470,6585822
9479,1275085467
9483,207964994
9491,7169306
9509,8741936
9514,6448217
9515,215933974
9516,8338232
9526,5756908914
9531,6708820
9538,5187810
9541,218041020
9543,195145716
9544,252191758
9545,186828784
9555,8446456
9561,264834130
9565,174701498
9568,8309396
9589,240621977
9590,284869761
9593,227170397
9595,227170397
9597,255116258
9598,188327045
9600,309017227
9601,2662346
9604,997153768
9605,11603866
9606,11586778
9612,279369331
9615,131056
9622,5913694
9624,151689417
9627,116670092
9643,232170384
9644,460747792
9646,11098852
9649,3792468
9657,408430913
9664,5965848
9668,194110465
9669,186673269
9672,5250466
9678,125236242
9680,162707012
9685,363962958
9689,169516027
9690,5856200
9691,8299072
9694,154025027
9696,1807590
9704,4996282
9707,378784
9711,173806859
9713,9685692
9715,165479026
9716,5531172
9720,178204619
9725,3745832
9731,161470672
9733,10220048
9739,11864028
9742,6022096
9749,11893426
9755,237449018
9760,10993102
9764,8627660
9767,189269688
9770,247636340
9771,192118910
9778,214254380
9783,195424065
9785,466312818
9787,1923561543
9793,153995641
9796,190785499
9798,6695826
9801,4090618
9802,6434522
9805,920632161
9807,199715780
9813,206818096
9818,263138636
9823,510701097
9833,19270102
9837,3771820
9838,4244766
9840,223786131
9843,199252950
9844,161654325
9849,10000574
9852,147228431
9860,127027894
9870,202520308
9874,9225740
9877,174280597
9883,199630447
9886,184274601
9888,183597041
9891,202437709
9897,138692305
9899,7947344
9901,17607938
9904,197427190
9913,199907880
9915,9808868
9923,3443766
9925,423359999
9927,146158708
9938,142276428
9940,165058198
9970,336108132
9974,4066588
9978,10280734
9986,178776656
9989,11457911524
9993,195587550
9994,190641475
9995,523262468
9999,188881870
10020,147528336
10023,139884661
10029,26047088
10036,22538360
10041,278880821
10042,299719248
10047,4087414
10060,18905558
10066,2106326451
10068,12915146
10085,6730714
10088,464361388
10089,9596860
10090,3426370
10093,13335582
10096,2920446
10103,259827514
10105,153815908
10112,212934023
10114,217074895
10116,4464002
10117,210414069
10137,6482938
10141,385383364
10149,16937946
10157,9479034
10160,8932930
10166,4069970
10169,5067660
10181,393252444
10183,1981496
10224,4352382
12930,35394090
12957,278914507
13037,386455605
13114,53680983
13146,48485589
13164,287857689
13180,60315323
13233,185902003
13245,55581931
13249,345748117
13262,561523355
13333,698818681
13397,725400778
13451,789188900
13489,193204659
13515,6113054
13616,302419756
13632,184058153
13686,1134929832
13735,292452667
13746,36547543
15368,365034900
27454,714094443
27457,159311739
27615,6836624
27622,182883749
27642,12866196
27675,8094016
27679,351680619
27687,643480715
27704,1055037031
27706,1603309439
27794,402305957
27835,2179472
27923,1280222
28377,311783229
28584,1020119403
28588,195440514
28610,803067693
28612,690570541
28689,89782523
28697,53199330
28711,33917490
28713,64379729
28716,73165768
28724,63842389
28737,16330076
28743,255975633
28829,641493169
29029,238488043
29030,242909968
29031,231179037
29053,869493256
29057,215681876
29058,114936537
29064,194142142
29073,3004682
29078,169410416
29088,5194930
29091,17865326
29092,369410418
29137,210402139
29139,239885973
29144,889302719
29158,801984
29159,71232029
29656,462174161
29730,670955601
30018,199236519
30019,64907195
30023,228714781
30025,185576015
30033,247621729
30065,4246493
30066,109970766
30068,9415238
30069,356943128
30076,727426703
30191,381905583
30194,339959147
30195,404810625
30201,188207247
30207,358773274
30212,215741760
30213,42125279
30317,438316753
30331,963723537
30357,471495200
