node, chunk, filesize
1,0,0
2769,0,600947789
3055,6,146094927
3088,6,1843810
3144,6,667988
3197,6,160857281
3483,6,676639214
3494,6,684639128
3625,6,466603525
3654,6,419464726
3656,6,685840732
3659,6,180120875
3702,6,171041560
3707,6,719565416
3708,6,763266065
3711,6,698005252
3712,6,762478545
3750,6,2674290503
3752,6,1007730273
3755,6,423301926
3760,6,459977208
3847,6,645369117
3871,6,653102684
3880,6,612283137
3983,6,506968093
3986,6,1224827593
4039,6,830875221
4072,6,807514092
4146,6,816332881
4232,6,944908566
4236,6,618260196
4265,6,523907541
4460,6,850019039
4513,6,730667102
4522,6,835406937
4528,6,286035912
4529,6,390574531
4530,6,650160759
4533,6,186439656
4536,6,306187568
4537,6,580494127
4538,6,416953291
4615,6,308953430
4641,6,338159772
4686,6,783969450
5791,0,2238345
5802,0,206153046
6239,8,28382096
6253,8,923626
6289,8,696994
6339,8,661388505
6454,0,1016753227
6455,0,683930759
6549,0,1064424132
6550,0,161050961
6565,0,34460253
6573,0,31558729
6579,0,831377642
6596,0,57761311
6613,0,639508
6645,0,717958
6850,8,631324
6973,8,513351614
6978,8,765225247
6997,8,243029139
7004,8,826570617
7029,8,591363511
7038,8,481945910
7044,8,1434592191
7048,8,1865891348
7054,8,908939774
7061,8,1386549651
7064,8,661918589
7067,8,411410204
7070,8,226723567
7084,8,1033909680
7091,1,477678979
7092,1,226813588
7102,1,282777593
7107,1,834314906
7108,1,345191501
7109,1,49523
7111,1,272553724
7113,1,569129549
7116,1,378933181
7130,1,311162660
7137,1,287756441
7141,8,47031
7153,3,34982837
7159,3,919122824
7160,3,878025638
7165,3,1090961086
7167,3,129077444
7168,3,55003211
7173,3,86238896
7176,3,555818265
7200,3,77859727
7213,3,303250648
7215,3,77718165
7217,3,789924286
7218,3,574014109
7220,3,344076990
7222,3,175901596
7224,3,203420561
7225,3,713513340
7226,3,513437873
7227,3,428265794
7229,3,1171318177
7230,3,240271104
7232,3,22303067
7233,3,734125501
7234,3,777438289
7237,3,410862143
7238,3,552467852
7240,3,418783125
7241,3,153718374
7244,3,435252789
7245,3,361091944
7248,3,566580769
7249,3,776625094
7251,3,528565134
7252,3,60875776
7257,3,72833310
7260,3,469284596
7263,3,31931417
7266,3,121487471
7274,3,423093100
7282,3,281797176
7291,3,299594768
7368,3,218650341
7370,3,388384540
7373,3,257396666
7375,3,304889761
7380,3,285022502
7385,3,240683356
7386,3,378219850
7394,3,183849186
7395,3,241974176
7398,3,240028482
7416,7,496390354
7421,7,64960805
7425,7,727254058
7426,7,172231343
7427,7,180798925
7445,7,118771796
7446,7,85767630
